sku,handle,category,keyword,image_count
DC-CER,tratamiento-ceramico-detailing-center,tratamiento-ceramico,ceramic coating car detailing,6
DC-PUL,pulido-general-detailing-center,pulido-pintura,car paint polishing machine,6
DC-POL,polarizado-detailing-center,polarizado-automotriz,car window tint installation,6
DC-FPPF,full-body-ppf-detailing-center,ppf-full-body,car paint protection film installation,6
DC-PPF,ppf-proteccion-de-partes-detailing-center,ppf-partes,car headlight protection film installation,6
